Song,id,danceability,energy,valence,ratings
If You Believe,0QurRfrHz1RGbdPpTx7lLV,0.575,0.202,0.142,0
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,6chZg1OMXz9VN3MQCr4cNf,0.619,0.663,0.142,0
October Rain,2jdeYpaoWR0VMIyKrgQMQE,0.187,0.014,0.144,0
Crystal Shores,0gUAGl4nHShy1dzHikQKKU,0.482,0.0257,0.144,0
windcatcher,59VApBbrS2IADQk4ml5mdo,0.402,0.236,0.146,0
Deep Dark Jungle,0FTDvOs2mzgHAqL31PBXO5,0.587,0.97,0.146,0
Lights Go Down,2shD8wlebq8fDg6ChqOPkC,0.741,0.812,0.146,0
Mind-wanders,4sYNRSlV9pGInYcbsC18Jz,0.312,0.0185,0.147,0
Strange Dreams,0YXPmthF2oHLQCYIGkSrZy,0.308,0.0229,0.148,0
Parabel,4IrzpCIP60bro2wkBq5dIi,0.354,0.0214,0.148,0
Marbles,4iVWQTuwKG4JKtGOjx6T9V,0.49,0.521,0.148,0
Alive,2rPJcL8gQauA2nBdRyNZZL,0.494,0.847,0.148,0
Sahara Love - Seven Lions Remix,6KjTXwntv8paBCL3El9TnV,0.275,0.659,0.149,0
Let It Out,72rHjyz3i7K90Hk1eF1f0c,0.596,0.528,0.15,0
the theme song,3n2QaRyg5nTg5Cwwq5mw3Q,0.604,0.03,0.15,0
Inside*,3GuzB4BEWq3bhZM8YydysZ,0.266,0.0028,0.151,0
Pierre,1qlVrqeX158nz91Z72lzaa,0.356,0.0499,0.153,0
People Help the People,6XRNCAnxJIB1p4RPdFVSq0,0.407,0.308,0.153,0
Old Rain on a New Day,5P8BZ67Vw2CUwAYi12yvYj,0.286,0.14,0.154,0
Where Your Mind Wants to Go - RONE Remix,4pODZqgdj6Iwci7jruY5xf,0.651,0.848,0.154,0
Fields Of Blossom,0BEkkhhqcCNx6VLMtshOiT,0.42,0.135,0.155,0
Mad About You,5drK2kTE2mrUdV33iHWyrx,0.465,0.844,0.155,0
Machinehead,1iTzI4NSQNLIETWDJ1WNWi,0.15,0.875,0.156,0
Time Travel,2ENH05Q7PkilEF6WujXNjG,0.502,0.289,0.156,0
Summer Boredom,1B96GJer0xmo0t9rZg5V4c,0.496,0.0281,0.157,0
Kite,6a8U8DihiuewRpRQ2OOCVU,0.534,0.019,0.157,0
All I Want,1XczdQt6RKNkEQfPqUsi3q,0.189,0.427,0.158,0
Gracewood (Revisited),1TSpCeUusXyZ7FiaDuy3x1,0.353,0.0544,0.158,0
Welcome Home,42GP0xKtkolBnmqQRvSllO,0.442,0.951,0.158,0
Fix You,0x4CFzoSdqVq5qTGgwZFuX,0.5,0.185,0.159,0
Your Turn Now,6Ij1Soe86rp6D9YsxwCz9N,0.634,0.193,0.159,0
Words I Heard,12nUGGcjJgQYkGawzk0rJp,0.124,0.347,0.16,0
Nazareth,2cRD4yq8e8wd6PxS0zhuW3,0.378,0.0181,0.16,0
