Song,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,ratings
Back+,6MrVWgw16iHBGRntjRkGQq,0.993,0.383,198746,0.0197,0.944,7,0.121,-28.192,0.0528,67.555,0.113,0
Planet,1gIZhNdfbkGJ2iyOZJmW9O,0.988,0.549,151400,0.0604,0.869,6,0.111,-23.059,0.0332,113.98,0.113,0
When You Left,1uu52K2fxY7Hl4LQ8AtTyY,0.984,0.56,177224,0.0853,0.918,5,0.108,-15.918,0.0324,96.646,0.113,0
Bouquet with Lilies,1j45uvYWACNGDZ0jmKSTuP,0.716,0.621,216607,0.345,0.921,0,0.091,-12.106,0.0295,117.683,0.113,0
Someday,5zOetBDO9NONS4KnIBXtnx,0.265,0.572,288040,0.571,0.917,8,0.109,-10.067,0.0331,96.986,0.115,0
9 Crimes,5GZEeowhvSieFDiR8fQ2im,0.913,0.346,217946,0.139,7.73E-05,0,0.0934,-15.326,0.0321,136.168,0.116,0
Never Letting Go,5llPdGZJjJFJv9aL6ZaiLY,0.0915,0.534,172519,0.765,0.00107,1,0.225,-3.151,0.0338,127.978,0.117,0
Bird,6DzvC1VHpyTFfLBbAYBa7W,0.988,0.235,220640,0.187,0.00197,6,0.106,-12.754,0.0347,85.962,0.118,0
Prelude,1QmdL4qnNkm8FDuseRMf21,0.996,0.306,223500,0.0846,0.901,1,0.0909,-27.607,0.0535,164.732,0.118,0
Angry Chair,6H0wgcQCOuLYqDuNhMW8KL,0.0642,0.313,288400,0.973,1.22E-06,8,0.0581,-3.855,0.109,107.3,0.118,0
The Funeral,4Ao5JXfOIMJGlVo8sJpjFr,0.0143,0.316,321146,0.769,0,0,0.0928,-5.285,0.0422,122.458,0.118,0
Anaviosi,4OWZLr2sLv7ueKPHV7JRNP,0.995,0.391,174244,0.0121,0.946,1,0.0959,-24.588,0.0852,68.128,0.118,0
Remains,288oxP29Qe5FikFIc1b1Gd,0.991,0.157,228622,0.0755,0.897,7,0.184,-23.545,0.051,71.23,0.119,0
Hoovela,1dssHOp3HpaK9o5c0CL7xU,0.00123,0.341,207295,0.989,0.822,4,0.4,-3.828,0.111,103.48,0.119,0
Melancholé,3SdkYA8frHe3BMZsPVPrRq,0.996,0.369,149647,0.0283,0.941,2,0.101,-25.76,0.0399,83.391,0.119,0
North,3AtuVA6OJB7ZxBbMfA5qYx,0.994,0.522,126480,0.0155,0.927,10,0.0949,-28.022,0.0441,91.764,0.119,0
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.934,0.351,200185,0.296,0,4,0.095,-10.109,0.0333,115.284,0.12,0
Wild Wild Son - Club Mix,2Fgo49RzWsVWKcwAksPWq8,0.00138,0.526,218200,0.867,0.00064,5,0.0975,-4.332,0.0659,132.106,0.12,0
Eagle,7uI4m3uAKy2WWH1mJZAYzO,0.937,0.339,226400,0.142,0.91,10,0.0847,-21.613,0.0416,109.98,0.121,0
Tegel,5Vh9sUjTiivWtvKmif40wy,0.993,0.233,151764,0.0997,0.937,1,0.105,-25.616,0.0456,84.309,0.123,0
Los Feliz,0efOqjQkOgWPEZTzAZSB6j,0.197,0.575,166927,0.373,0.898,11,0.0753,-11.642,0.0279,74.975,0.123,0
Underwater - Tinlicker Remix,7ku9ctunOcfqWP6z04QTRY,0.0607,0.627,239894,0.857,0.835,7,0.132,-8.253,0.0402,121.976,0.124,0
Vague,3IOXceWmoCrTyl5TXFDzWu,0.881,0.32,143000,0.253,0.935,10,0.121,-17.843,0.0356,140.029,0.125,0
Feels Like We're Dying,0IvaKmBYBLVcdP0Ft8Dwik,0.73,0.579,185250,0.411,0.8,6,0.0945,-13.068,0.0329,79.988,0.125,0
Night Surrender,0kox8HaEK0EfeWcNVTOKTy,0.993,0.211,193653,0.00977,0.891,1,0.0996,-25.787,0.0396,175.397,0.13,0
